date,daily_revenue_interview_coder,cumulative_revenue_interview_coder,daily_revenue_cluely,cumulative_revenue_cluely,total_daily_revenue,total_cumulative_revenue
2025-01-10,20.0,20.0,0.0,0.0,20.0,20.0
2025-01-12,20.0,40.0,0.0,0.0,20.0,40.0
2025-01-13,40.0,80.0,0.0,0.0,40.0,80.0
2025-01-16,20.0,100.0,0.0,0.0,20.0,100.0
2025-01-18,20.0,120.0,0.0,0.0,20.0,120.0
2025-01-20,20.0,140.0,0.0,0.0,20.0,140.0
2025-01-21,40.0,180.0,0.0,0.0,40.0,180.0
2025-01-26,20.0,200.0,0.0,0.0,20.0,200.0
2025-01-27,20.0,220.0,0.0,0.0,20.0,220.0
2025-01-28,100.0,320.0,0.0,0.0,100.0,320.0
2025-01-29,250.0,570.0,0.0,0.0,250.0,570.0
2025-01-30,80.0,650.0,0.0,0.0,80.0,650.0
2025-01-31,180.0,830.0,0.0,0.0,180.0,830.0
2025-02-01,250.0,1080.0,0.0,0.0,250.0,1080.0
2025-02-02,620.0,1700.0,0.0,0.0,620.0,1700.0
2025-02-03,770.0,2470.0,0.0,0.0,770.0,2470.0
2025-02-04,730.0,3200.0,0.0,0.0,730.0,3200.0
2025-02-05,360.0,3560.0,0.0,0.0,360.0,3560.0
2025-02-06,340.0,3900.0,0.0,0.0,340.0,3900.0
2025-02-07,310.0,4210.0,0.0,0.0,310.0,4210.0
2025-02-08,370.0,4580.0,0.0,0.0,370.0,4580.0
2025-02-09,420.0,5000.0,0.0,0.0,420.0,5000.0
2025-02-10,400.0,5400.0,0.0,0.0,400.0,5400.0
2025-02-11,380.0,5780.0,0.0,0.0,380.0,5780.0
2025-02-12,450.0,6230.0,0.0,0.0,450.0,6230.0
2025-02-13,550.0,6780.0,0.0,0.0,550.0,6780.0
2025-02-14,450.0,7230.0,0.0,0.0,450.0,7230.0
2025-02-15,400.0,7630.0,0.0,0.0,400.0,7630.0
2025-02-16,540.0,8170.0,0.0,0.0,540.0,8170.0
