date,daily_revenue_interview_coder,cumulative_revenue_interview_coder,daily_revenue_cluely,cumulative_revenue_cluely,total_daily_revenue,total_cumulative_revenue
2025-01-10,20,20,0,0,20,20
2025-01-12,20,40,0,0,20,40
2025-01-13,40,80,0,0,40,80
2025-01-16,20,100,0,0,20,100
2025-01-18,20,120,0,0,20,120
2025-01-20,20,140,0,0,20,140
2025-01-21,40,180,0,0,40,180
2025-01-26,20,200,0,0,20,200
2025-01-27,20,220,0,0,20,220
2025-01-28,100,320,0,0,100,320
2025-01-29,250,570,0,0,250,570
2025-01-30,80,650,0,0,80,650
2025-01-31,180,830,0,0,180,830
2025-02-01,250,1080,0,0,250,1080
2025-02-02,620,1700,0,0,620,1700
2025-02-03,770,2470,0,0,770,2470
2025-02-04,730,3200,0,0,730,3200
2025-02-05,360,3560,0,0,360,3560
2025-02-06,340,3900,0,0,340,3900
2025-02-07,310,4210,0,0,310,4210
2025-02-08,370,4580,0,0,370,4580
2025-02-09,420,5000,0,0,420,5000
2025-02-10,400,5400,0,0,400,5400
2025-02-11,380,5780,0,0,380,5780
2025-02-12,450,6230,0,0,450,6230
2025-02-13,550,6780,0,0,550,6780
2025-02-14,450,7230,0,0,450,7230
2025-02-15,400,7630,0,0,400,7630
2025-02-16,540,8170,0,0,540,8170
2025-02-17,890,9060,0,0,890,9060
2025-02-18,500,9560,0,0,500,9560
2025-02-19,950,10510,0,0,950,10510
2025-02-20,740,11250,0,0,740,11250
2025-02-21,390,11640,0,0,390,11640
2025-02-22,480,12120,0,0,480,12120
2025-02-23,610,12730,0,0,610,12730
2025-02-24,1020,13750,0,0,1020,13750
2025-02-25,1150,14900,0,0,1150,14900
2025-02-26,2900,17800,0,0,2900,17800
2025-02-27,3850,21650,0,0,3850,21650
2025-02-28,3990,25640,0,0,3990,25640
2025-03-01,3870,29510,0,0,3870,29510
2025-03-02,6630.6,36140.6,0,0,6630.6,36140.6
2025-03-03,8590,44730.6,0,0,8590,44730.6
2025-03-04,10000,54730.6,0,0,10000,54730.6
2025-03-05,8170,62900.6,0,0,8170,62900.6
2025-03-06,7660,70560.6,0,0,7660,70560.6
2025-03-07,4750,75310.6,0,0,4750,75310.6
2025-03-08,5570,80880.6,0,0,5570,80880.6
2025-03-09,6130,87010.6,0,0,6130,87010.6
2025-03-10,8810,95820.6,0,0,8810,95820.6
2025-03-11,8130.01,103950.61,0,0,8130.01,103950.61
2025-03-12,8080,112030.61,0,0,8080,112030.61
2025-03-13,8555,120585.61,0,0,8555,120585.61
2025-03-14,5463,126048.61,0,0,5463,126048.61
2025-03-15,3680,129728.61,0,0,3680,129728.61
2025-03-16,5046.96,134775.57,0,0,5046.96,134775.57
2025-03-17,7883.87,142659.44,0,0,7883.87,142659.44
2025-03-18,7111.540000000001,149770.98,0,0,7111.540000000001,149770.98
2025-03-19,7386.84,157157.82,0,0,7386.84,157157.82
2025-03-20,6712.01,163869.83000000002,0,0,6712.01,163869.83000000002
2025-03-21,4715.049999999999,168584.88,0,0,4715.049999999999,168584.88
2025-03-22,4720.25,173305.13,0,0,4720.25,173305.13
2025-03-23,6481.469999999998,179786.6,0,0,6481.469999999998,179786.6
2025-03-24,6747.98,186534.58000000002,0,0,6747.98,186534.58000000002
2025-03-25,6894.4800000000005,193429.06000000003,0,0,6894.4800000000005,193429.06000000003
2025-03-26,8926.340000000002,202355.40000000002,0,0,8926.340000000002,202355.40000000002
2025-03-27,14489.910000000002,216845.31000000003,0,0,14489.910000000002,216845.31000000003
2025-03-28,11592.419999999998,228437.73000000004,0,0,11592.419999999998,228437.73000000004
2025-03-29,7498.630000000004,235936.36000000004,0,0,7498.630000000004,235936.36000000004
2025-03-30,7999.710000000005,243936.07000000004,0,0,7999.710000000005,243936.07000000004
2025-03-31,11030.859999999991,254966.93000000002,0,0,11030.859999999991,254966.93000000002
2025-04-01,10762.13,265729.06,0,0,10762.13,265729.06
2025-04-02,11790.31,277519.37,0,0,11790.31,277519.37
2025-04-03,10353.169999999998,287872.54,0,0,10353.169999999998,287872.54
2025-04-04,9481.250000000005,297353.79,0,0,9481.250000000005,297353.79
2025-04-05,6383.019999999999,303736.81,0,0,6383.019999999999,303736.81
2025-04-06,8814.049999999994,312550.86,0,0,8814.049999999994,312550.86
2025-04-07,11192.349999999999,323743.20999999996,0,0,11192.349999999999,323743.20999999996
2025-04-08,9341.829999999998,333085.04,0,0,9341.829999999998,333085.04
2025-04-09,9374.420000000004,342459.45999999996,0,0,9374.420000000004,342459.45999999996
2025-04-10,9800.819999999998,352260.27999999997,0,0,9800.819999999998,352260.27999999997
2025-04-11,8156.16,360416.43999999994,0,0,8156.16,360416.43999999994
2025-04-12,8044.829999999998,368461.26999999996,0,0,8044.829999999998,368461.26999999996
2025-04-13,8539.979999999996,377001.24999999994,0,0,8539.979999999996,377001.24999999994
2025-04-14,10562.000000000002,387563.24999999994,0,0,10562.000000000002,387563.24999999994
2025-04-15,7124.089999999999,394687.33999999997,0,0,7124.089999999999,394687.33999999997
2025-04-16,6873.579999999998,401560.92,0,0,6873.579999999998,401560.92
2025-04-17,8807.409999999998,410368.32999999996,0,0,8807.409999999998,410368.32999999996
2025-04-18,5571.709999999999,415940.04,0,0,5571.709999999999,415940.04
2025-04-19,4536.500000000001,420476.54,0,0,4536.500000000001,420476.54
2025-04-20,7077.750000000001,427554.29,4680,4680,11757.75,432234.29
2025-04-21,7717.700000000002,435271.99,7680,12360,15397.7,447631.99
2025-04-22,6387.6900000000005,441659.68,6100,18460,12487.69,460119.68
2025-04-23,8155.67,449815.35,9460,27920,17615.67,477735.35
2025-04-24,6615.080000000002,456430.43,6640,34560,13255.080000000002,490990.43
2025-04-25,6369.590000000001,462800.02,4720,39280,11089.59,502080.02
2025-04-26,5240.909999999999,468040.93,1920,41200,7160.909999999999,509240.93
2025-04-27,7655.789999999997,475696.72,3260,44460,10915.789999999997,520156.72
2025-04-28,8856.630000000001,484553.35,4460,48920,13316.630000000001,533473.35
2025-04-29,8442.910000000005,492996.26,4380,53300,12822.910000000005,546296.26
2025-04-30,9447.87,502444.13,5400,58700,14847.87,561144.13
2025-05-01,8495.72,510939.85,6500,65200,14995.72,576139.85
2025-05-02,7962.049999999998,518901.89999999997,4420,69620,12382.05,588521.9
2025-05-03,6976.459999999999,525878.36,2220,71840,9196.46,597718.36
2025-05-04,5597.459999999999,531475.82,3460,75300,9057.46,606775.82
2025-05-05,8492.490000000002,539968.3099999999,5600,80900,14092.490000000002,620868.3099999999
2025-05-06,7771.99,547740.2999999999,4800,85700,12571.99,633440.2999999999
2025-05-07,7576.62,555316.9199999999,4500,90200,12076.619999999999,645516.9199999999
2025-05-08,6106.869999999999,561423.7899999999,4180,94380,10286.869999999999,655803.7899999999
2025-05-09,5387.649999999999,566811.44,2860,97240,8247.649999999998,664051.44
2025-05-10,5900.589999999999,572712.0299999999,2020,99260,7920.589999999999,671972.0299999999
2025-05-11,5541.18,578253.21,2900,102160,8441.18,680413.21
2025-05-12,7524.29,585777.5,4260,106420,11784.29,692197.5
2025-05-13,6022.6500000000015,591800.15,4860,111280,10882.650000000001,703080.15
2025-05-14,5938.77,597738.92,3960,115240,9898.77,712978.92
2025-05-15,7058.37,604797.29,4260,119500,11318.369999999999,724297.29
2025-05-16,5889.32,610686.61,2780,122280,8669.32,732966.61
2025-05-17,4393.52,615080.13,1900,124180,6293.52,739260.13
2025-05-18,5924.870000000001,621005,2880,127060,8804.87,748065
2025-05-19,5767.809999999997,626772.8099999999,5340,132400,11107.809999999998,759172.81
2025-05-20,5640.359999999999,632413.1699999999,5800,138200,11440.359999999999,770613.17
2025-05-21,7070.17,639483.34,6040,144240,13110.17,783723.3400000001
2025-05-22,6447.86,645931.2,4960,149200,11407.86,795131.2000000001
2025-05-23,5339.339999999999,651270.5399999999,4400,153600,9739.34,804870.54
2025-05-24,4741.470000000001,656012.0099999999,2840,156440,7581.470000000001,812452.01
2025-05-25,3805.3199999999997,659817.3299999998,3300,159740,7105.32,819557.33
2025-05-26,5677.9,665495.2299999999,4040,163780,9717.9,829275.23
2025-05-27,6258.85,671754.0799999998,5060,168840,11318.85,840594.08
2025-05-28,6125.28,677879.3599999999,5440,174280,11565.279999999999,852159.36
2025-05-29,5645.559999999998,683524.9199999999,5420,179700,11065.559999999998,863224.9199999999
2025-05-30,4085.0199999999995,687609.94,3900,183600,7985.0199999999995,871209.94
2025-05-31,3738.2199999999993,691348.1599999999,2080,185680,5818.219999999999,877028.1599999999
2025-06-01,4302.189999999999,695650.3499999999,4160,189840,8462.189999999999,885490.3499999999
2025-06-02,5587.449999999999,701237.7999999998,5420,195260,11007.449999999999,896497.7999999998
2025-06-03,6962.160000000001,708199.9599999998,364380,559640,371342.16,1267839.9599999997
2025-06-04,4651.100000000001,712851.0599999998,4560,564200,9211.100000000002,1277051.0599999998
2025-06-05,5650.290000000002,718501.3499999999,6000,570200,11650.29,1288701.3499999999
